payload,file_count,avg_duration_sec,avg_payload_size_bytes,avg_total_messages,avg_messages_per_sec,avg_payload_throughput_MiB_sec,avg_mean_rtt_ms,avg_median_rtt_ms,avg_stddev_ms,avg_min_ms,avg_max_ms,stdev_of_messages_per_sec,ci95_messages_per_sec
1_throughput10KB_results,10,30.310,10240.000,111056.500,3665.587,35.796,0.262,0.196,5.918,0.130,1186.804,324.769,201.294
2_throughput50KB_results,10,30.011,51200.000,87914.600,2929.467,143.041,0.321,0.284,3.701,0.175,790.362,196.749,121.946
3_throughput100KB_results,10,30.017,102400.000,64476.200,2147.939,209.761,0.427,0.400,2.152,0.222,381.934,133.752,82.900
4_throughput500KB_results,10,60.001,512000.000,23792.500,396.534,193.618,1.498,1.456,1.124,0.759,143.887,7.165,4.441
5_throughput1MB_results,5,60.002,1048576.000,11939.800,198.990,198.990,3.037,2.983,1.866,1.444,174.770,2.051,1.798
6_throughput8MB_results,5,60.025,8388608.000,1199.200,19.978,159.826,27.411,27.045,5.434,16.029,67.702,0.268,0.234
7_throughput15MB_results,5,60.057,15728640.000,544.800,9.072,136.070,66.231,64.759,13.489,39.615,152.330,0.123,0.108
