payload,file_count,avg_runs,avg_mean_ms,avg_median_ms,avg_stddev_ms,avg_min_ms,avg_max_ms,stdev_of_mean_ms,ci95_mean_ms
1_latency10KB_results,10,1000.000,0.301,0.226,0.280,0.159,4.408,0.035,0.022
2_latency50KB_results,10,500.000,0.454,0.317,1.202,0.225,23.682,0.120,0.074
3_latency100KB_results,10,250.000,0.522,0.444,0.270,0.296,2.777,0.019,0.012
4_latency500KB_results,10,100.000,1.787,1.666,0.559,1.058,5.097,0.100,0.062
5_latency1MB_results,10,50.000,3.532,3.410,0.767,2.211,6.623,0.136,0.084
6_latency8MB_results,10,20.000,28.282,27.626,6.493,18.973,44.845,2.704,1.676
7_latency15MB_results,10,20.000,65.514,62.629,17.575,44.053,114.399,8.877,5.502
