payload,file_count,avg_duration_sec,avg_payload_size_bytes,avg_total_messages,avg_messages_per_sec,avg_payload_throughput_MiB_sec,avg_mean_rtt_ms,avg_median_rtt_ms,avg_stddev_ms,avg_min_ms,avg_max_ms,stdev_of_messages_per_sec,ci95_messages_per_sec
1_throughput10KB_results,10,30.014,10240.000,85799.300,2858.623,27.917,0.337,0.311,1.811,0.217,272.006,47.638,29.527
2_throughput50KB_results,10,30.000,51200.000,44322.400,1477.394,72.138,0.656,0.619,1.687,0.486,252.751,23.904,14.816
3_throughput100KB_results,10,30.001,102400.000,22999.300,766.627,74.867,1.205,1.159,1.815,0.899,210.882,70.868,43.925
4_throughput500KB_results,10,60.452,512000.000,7806.800,129.238,63.105,6.801,6.182,11.150,4.491,902.105,5.149,3.191
5_throughput1MB_results,5,60.005,1048576.000,4571.000,76.178,76.178,11.220,9.078,51.689,7.334,3060.934,8.182,7.172
6_throughput8MB_results,5,60.084,8388608.000,512.400,8.526,68.224,98.984,100.195,25.421,63.154,182.672,0.504,0.442
7_throughput15MB_results,5,60.076,15728640.000,287.400,4.784,71.760,171.935,151.191,46.266,120.212,266.234,0.235,0.206
