payload,file_count,avg_runs,avg_mean_ms,avg_median_ms,avg_stddev_ms,avg_min_ms,avg_max_ms,stdev_of_mean_ms,ci95_mean_ms
1_latency10KB_results,10,1000.000,0.432,0.321,0.921,0.238,24.232,0.063,0.039
2_latency50KB_results,10,500.000,0.762,0.636,0.332,0.508,3.447,0.035,0.022
3_latency100KB_results,10,250.000,1.237,1.076,0.467,0.901,4.839,0.103,0.064
4_latency500KB_results,10,100.000,4.725,4.412,0.959,3.976,9.768,0.155,0.096
5_latency1MB_results,10,50.000,10.733,10.729,2.361,8.176,18.649,1.819,1.128
6_latency8MB_results,10,20.000,80.281,74.719,17.989,63.624,118.140,9.658,5.986
7_latency15MB_results,10,10.000,197.877,188.820,44.060,153.115,291.120,29.121,18.049
