payload,file_count,avg_runs,avg_mean_ms,avg_median_ms,avg_stddev_ms,avg_min_ms,avg_max_ms,stdev_of_mean_ms,ci95_mean_ms
1_latency10KB_results,10,1000.000,0.498,0.377,0.950,0.255,23.923,0.077,0.048
2_latency50KB_results,10,500.000,1.225,1.090,0.536,0.591,6.124,0.065,0.040
3_latency100KB_results,10,250.000,2.119,2.031,0.811,0.976,7.898,0.181,0.112
4_latency500KB_results,10,100.000,8.538,8.497,1.778,4.845,15.500,0.661,0.410
5_latency1MB_results,10,50.000,16.065,16.540,2.933,8.853,22.293,1.520,0.942
6_latency8MB_results,10,20.000,107.384,112.276,24.654,69.429,147.933,15.552,9.639
7_latency15MB_results,10,10.000,167.629,170.028,32.176,120.969,212.871,42.388,26.273
