payload,file_count,avg_runs,avg_mean_ms,avg_median_ms,avg_stddev_ms,avg_min_ms,avg_max_ms,stdev_of_mean_ms,ci95_mean_ms
1_latency10KB_results,10,1000.000,0.558,0.404,1.024,0.274,27.078,0.082,0.051
2_latency50KB_results,10,500.000,1.246,1.140,0.531,0.563,5.529,0.078,0.048
3_latency100KB_results,10,250.000,1.817,1.672,0.717,1.021,5.456,0.243,0.151
4_latency500KB_results,10,100.000,5.912,4.830,2.351,4.039,14.418,0.420,0.261
5_latency1MB_results,10,50.000,11.326,9.848,3.793,8.344,24.084,0.643,0.399
6_latency8MB_results,10,20.000,70.721,69.278,5.247,65.327,86.152,1.554,0.963
7_latency15MB_results,10,10.000,131.523,130.040,7.030,124.218,146.747,2.617,1.622
