payload,file_count,avg_runs,avg_mean_ms,avg_median_ms,avg_stddev_ms,avg_min_ms,avg_max_ms,stdev_of_mean_ms,ci95_mean_ms
1_latency10KB_results,10,1000.000,0.654,0.474,0.452,0.307,4.393,0.032,0.020
2_latency50KB_results,10,500.000,1.027,0.856,0.519,0.589,5.108,0.100,0.062
3_latency100KB_results,10,250.000,1.675,1.479,0.626,1.030,5.275,0.142,0.088
4_latency500KB_results,10,100.000,6.851,6.490,1.415,5.103,13.660,0.883,0.547
5_latency1MB_results,10,50.000,10.242,9.808,1.574,8.170,16.592,0.241,0.149
6_latency8MB_results,10,20.000,72.101,71.018,5.815,65.075,88.034,3.063,1.898
7_latency15MB_results,10,10.000,131.311,129.377,8.804,121.684,149.883,3.990,2.473
