payload,file_count,avg_duration_sec,avg_payload_size_bytes,avg_total_messages,avg_messages_per_sec,avg_payload_throughput_MiB_sec,avg_mean_rtt_ms,avg_median_rtt_ms,avg_stddev_ms,avg_min_ms,avg_max_ms,stdev_of_messages_per_sec,ci95_messages_per_sec
1_throughput10KB_results,10,30.000,10240.000,79471.300,2649.023,25.871,0.363,0.339,1.873,0.243,291.005,46.978,29.117
2_throughput50KB_results,10,30.001,51200.000,40691.400,1356.359,66.228,0.714,0.655,2.073,0.514,245.620,63.537,39.380
3_throughput100KB_results,10,30.001,102400.000,24345.600,811.503,79.247,1.118,1.062,1.621,0.886,213.990,15.178,9.408
4_throughput500KB_results,10,60.003,512000.000,11301.200,188.344,91.965,4.414,4.290,0.773,3.571,41.708,2.462,1.526
5_throughput1MB_results,5,60.005,1048576.000,4970.200,82.830,82.830,9.953,9.960,1.193,7.170,28.314,3.638,3.189
6_throughput8MB_results,5,60.032,8388608.000,557.000,9.278,74.226,89.122,86.697,8.827,71.088,162.651,1.189,1.042
7_throughput15MB_results,5,60.082,15728640.000,323.600,5.386,80.800,149.767,143.998,15.750,131.864,256.456,0.650,0.570
